1720573017.108625 server started (1673238): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1720573017.108675 on Linux 6.9.6-arch1-1 #1 SMP PREEMPT_DYNAMIC Fri, 21 Jun 2024 19:49:19 +0000
1720573017.108690 using libevent 2.1.12-stable poll
1720573017.108697 using ncurses 6.5 20240427
1720573017.109641 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1720573017.109649 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1720573017.109655 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1720573017.109662 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1720573017.109666 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1720573017.109671 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1720573017.109675 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1720573017.109678 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1720573017.109683 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1720573017.109689 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1720573017.109693 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1720573017.109699 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1720573017.109705 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1720573017.109709 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1720573017.109716 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1720573017.109720 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1720573017.109726 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1720573017.109735 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1720573017.109748 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1720573017.109753 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1720573017.109757 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1720573017.109762 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1720573017.109766 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1720573017.109770 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1720573017.109775 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1720573017.109779 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1720573017.109782 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1720573017.109785 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1720573017.109788 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1720573017.109791 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1720573017.109795 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1720573017.109798 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1720573017.109802 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1720573017.109804 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1720573017.109807 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1720573017.109810 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1720573017.109814 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1720573017.109817 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1720573017.109819 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1720573017.109822 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1720573017.109825 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1720573017.109828 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1720573017.109831 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1720573017.109834 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1720573017.109838 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1720573017.109841 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1720573017.109843 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1720573017.109846 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1720573017.109849 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1720573017.109852 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1720573017.109855 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1720573017.109858 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1720573017.109861 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1720573017.109864 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1720573017.109867 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1720573017.109869 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1720573017.109872 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1720573017.109875 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1720573017.109878 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1720573017.109881 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1720573017.109884 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1720573017.109887 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1720573017.109890 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1720573017.109893 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1720573017.109895 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1720573017.109898 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1720573017.109901 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1720573017.109904 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1720573017.109907 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1720573017.109910 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1720573017.109913 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1720573017.109916 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1720573017.109922 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1720573017.109931 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1720573017.109934 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1720573017.109937 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1720573017.109940 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1720573017.109943 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1720573017.109945 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1720573017.109948 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1720573017.109951 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1720573017.109954 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1720573017.109957 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1720573017.109960 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1720573017.109963 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1720573017.109966 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1720573017.109969 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1720573017.109972 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1720573017.109975 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1720573017.109977 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1720573017.109980 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1720573017.109983 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1720573017.109986 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1720573017.109989 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1720573017.109992 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1720573017.109995 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1720573017.109998 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1720573017.110001 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1720573017.110004 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1720573017.110007 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1720573017.110010 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1720573017.110013 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1720573017.110015 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1720573017.110018 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1720573017.110022 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1720573017.110025 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1720573017.110027 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1720573017.110030 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1720573017.110034 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1720573017.110036 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1720573017.110040 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1720573017.110043 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1720573017.110049 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1720573017.110052 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1720573017.110055 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1720573017.110058 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1720573017.110061 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1720573017.110064 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1720573017.110067 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1720573017.110088 yylex_token: end at WS
1720573017.110091 yylex_token: bind
1720573017.110094 yylex_token: end at WS
1720573017.110097 yylex_token: -N
1720573017.110101 yylex_token: end at WS
1720573017.110103 yylex_token: Send the prefix key
1720573017.110106 yylex_token: end at WS
1720573017.110108 yylex_token: C-b
1720573017.110111 yylex_token: end at WS
1720573017.110114 yylex_token: send-prefix
1720573017.110120 cmd_parse_build_commands 0:0: bind
1720573017.110128 cmd_parse_build_commands 0:1: -N
1720573017.110131 cmd_parse_build_commands 0:2: Send the prefix key
1720573017.110134 cmd_parse_build_commands 0:3: C-b
1720573017.110137 cmd_parse_build_commands 0:4 0:0: send-prefix
1720573017.110148 cmd_parse_build_commands 0:0: send-prefix
1720573017.110159 args_parse: flags end at 1 of 1
1720573017.110166 cmd_parse_build_commands: send-prefix
1720573017.110169 args_parse_flags: next -N
1720573017.110172 args_parse_flag_argument: -N = Send the prefix key
1720573017.110175 args_parse_flags: next C-b
1720573017.110178 args_parse: flags end at 3 of 5
1720573017.110181 args_parse: 3 = C-b (type STRING)
1720573017.110184 args_parse: 4 = send-prefix (type COMMANDS)
1720573017.110193 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1720573017.110202 cmdq_get_command: [bind-key/0x630cc88da940] group 2
1720573017.110206 cmdq_append <global>: [bind-key/0x630cc88da940]
1720573017.110209 yylex_token: end at WS
1720573017.110212 yylex_token: bind
1720573017.110215 yylex_token: end at WS
1720573017.110217 yylex_token: -N
1720573017.110220 yylex_token: end at WS
1720573017.110223 yylex_token: Rotate through the panes
1720573017.110226 yylex_token: end at WS
1720573017.110228 yylex_token: C-o
1720573017.110231 yylex_token: end at WS
1720573017.110234 yylex_token: rotate-window
1720573017.110238 cmd_parse_build_commands 0:0: bind
1720573017.110240 cmd_parse_build_commands 0:1: -N
1720573017.110243 cmd_parse_build_commands 0:2: Rotate through the panes
1720573017.110246 cmd_parse_build_commands 0:3: C-o
1720573017.110249 cmd_parse_build_commands 0:4 0:0: rotate-window
1720573017.110252 cmd_parse_build_commands 0:0: rotate-window
1720573017.110257 args_parse: flags end at 1 of 1
1720573017.110260 cmd_parse_build_commands: rotate-window
1720573017.110263 args_parse_flags: next -N
1720573017.110265 args_parse_flag_argument: -N = Rotate through the panes
1720573017.110268 args_parse_flags: next C-o
1720573017.110271 args_parse: flags end at 3 of 5
1720573017.110274 args_parse: 3 = C-o (type STRING)
1720573017.110277 args_parse: 4 = rotate-window (type COMMANDS)
1720573017.110282 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1720573017.110286 cmdq_get_command: [bind-key/0x630cc88dbd50] group 10
1720573017.110289 cmdq_append <global>: [bind-key/0x630cc88dbd50]
1720573017.110292 yylex_token: end at WS
1720573017.110294 yylex_token: bind
1720573017.110297 yylex_token: end at WS
1720573017.110299 yylex_token: -N
1720573017.110302 yylex_token: end at WS
1720573017.110305 yylex_token: Suspend the current client
1720573017.110308 yylex_token: end at WS
1720573017.110310 yylex_token: C-z
1720573017.110313 yylex_token: end at WS
1720573017.110316 yylex_token: suspend-client
1720573017.110319 cmd_parse_build_commands 0:0: bind
1720573017.110321 cmd_parse_build_commands 0:1: -N
1720573017.110324 cmd_parse_build_commands 0:2: Suspend the current client
1720573017.110327 cmd_parse_build_commands 0:3: C-z
1720573017.110330 cmd_parse_build_commands 0:4 0:0: suspend-client
1720573017.110333 cmd_parse_build_commands 0:0: suspend-client
1720573017.110339 args_parse: flags end at 1 of 1
1720573017.110342 cmd_parse_build_commands: suspend-client
1720573017.110344 args_parse_flags: next -N
1720573017.110347 args_parse_flag_argument: -N = Suspend the current client
1720573017.110350 args_parse_flags: next C-z
1720573017.110352 args_parse: flags end at 3 of 5
1720573017.110355 args_parse: 3 = C-z (type STRING)
1720573017.110358 args_parse: 4 = suspend-client (type COMMANDS)
1720573017.110363 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1720573017.110366 cmdq_get_command: [bind-key/0x630cc88db7c0] group 18
1720573017.110369 cmdq_append <global>: [bind-key/0x630cc88db7c0]
1720573017.110372 yylex_token: end at WS
1720573017.110374 yylex_token: bind
1720573017.110377 yylex_token: end at WS
1720573017.110379 yylex_token: -N
1720573017.110382 yylex_token: end at WS
1720573017.110385 yylex_token: Select next layout
1720573017.110393 yylex_token: end at WS
1720573017.110395 yylex_token: Space
1720573017.110398 yylex_token: end at WS
1720573017.110401 yylex_token: next-layout
1720573017.110404 cmd_parse_build_commands 0:0: bind
1720573017.110407 cmd_parse_build_commands 0:1: -N
1720573017.110409 cmd_parse_build_commands 0:2: Select next layout
1720573017.110412 cmd_parse_build_commands 0:3: Space
1720573017.110415 cmd_parse_build_commands 0:4 0:0: next-layout
1720573017.110418 cmd_parse_build_commands 0:0: next-layout
1720573017.110422 args_parse: flags end at 1 of 1
1720573017.110425 cmd_parse_build_commands: next-layout
1720573017.110427 args_parse_flags: next -N
1720573017.110430 args_parse_flag_argument: -N = Select next layout
1720573017.110433 args_parse_flags: next Space
1720573017.110435 args_parse: flags end at 3 of 5
1720573017.110438 args_parse: 3 = Space (type STRING)
1720573017.110441 args_parse: 4 = next-layout (type COMMANDS)
1720573017.110446 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1720573017.110449 cmdq_get_command: [bind-key/0x630cc88d9940] group 26
1720573017.110452 cmdq_append <global>: [bind-key/0x630cc88d9940]
1720573017.110455 yylex_token: end at WS
1720573017.110457 yylex_token: bind
1720573017.110460 yylex_token: end at WS
1720573017.110462 yylex_token: -N
1720573017.110465 yylex_token: end at WS
1720573017.110468 yylex_token: Break pane to a new window
1720573017.110470 yylex_token: end at WS
1720573017.110473 yylex_token: !
1720573017.110476 yylex_token: end at WS
1720573017.110478 yylex_token: break-pane
1720573017.110481 cmd_parse_build_commands 0:0: bind
1720573017.110484 cmd_parse_build_commands 0:1: -N
1720573017.110487 cmd_parse_build_commands 0:2: Break pane to a new window
1720573017.110490 cmd_parse_build_commands 0:3: !
1720573017.110492 cmd_parse_build_commands 0:4 0:0: break-pane
1720573017.110495 cmd_parse_build_commands 0:0: break-pane
1720573017.110498 args_parse: flags end at 1 of 1
1720573017.110501 cmd_parse_build_commands: break-pane
1720573017.110504 args_parse_flags: next -N
1720573017.110507 args_parse_flag_argument: -N = Break pane to a new window
1720573017.110509 args_parse_flags: next !
1720573017.110512 args_parse: flags end at 3 of 5
1720573017.110515 args_parse: 3 = ! (type STRING)
1720573017.110518 args_parse: 4 = break-pane (type COMMANDS)
1720573017.110522 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1720573017.110526 cmdq_get_command: [bind-key/0x630cc88dc7a0] group 34
1720573017.110528 cmdq_append <global>: [bind-key/0x630cc88dc7a0]
1720573017.110531 yylex_token: end at WS
1720573017.110534 yylex_token: bind
1720573017.110536 yylex_token: end at WS
1720573017.110539 yylex_token: -N
1720573017.110542 yylex_token: end at WS
1720573017.110544 yylex_token: Split window vertically
1720573017.110547 yylex_token: end at WS
1720573017.110549 yylex_token: "
1720573017.110552 yylex_token: end at WS
1720573017.110554 yylex_token: split-window
1720573017.110557 cmd_parse_build_commands 0:0: bind
1720573017.110560 cmd_parse_build_commands 0:1: -N
1720573017.110563 cmd_parse_build_commands 0:2: Split window vertically
1720573017.110565 cmd_parse_build_commands 0:3: "
1720573017.110568 cmd_parse_build_commands 0:4 0:0: split-window
1720573017.110571 cmd_parse_build_commands 0:0: split-window
1720573017.110575 args_parse: flags end at 1 of 1
1720573017.110578 cmd_parse_build_commands: split-window
1720573017.110581 args_parse_flags: next -N
1720573017.110584 args_parse_flag_argument: -N = Split window vertically
1720573017.110586 args_parse_flags: next "
1720573017.110589 args_parse: flags end at 3 of 5
1720573017.110591 args_parse: 3 = " (type STRING)
1720573017.110594 args_parse: 4 = split-window (type COMMANDS)
1720573017.110599 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1720573017.110603 cmdq_get_command: [bind-key/0x630cc88dd460] group 42
1720573017.110606 cmdq_append <global>: [bind-key/0x630cc88dd460]
1720573017.110609 yylex_token: end at WS
1720573017.110616 yylex_token: bind
1720573017.110619 yylex_token: end at WS
1720573017.110621 yylex_token: -N
1720573017.110624 yylex_token: end at WS
1720573017.110627 yylex_token: List all paste buffers
1720573017.110629 yylex_token: end at WS
1720573017.110632 yylex_token: #
1720573017.110635 yylex_token: end at WS
1720573017.110637 yylex_token: list-buffers
1720573017.110643 cmd_parse_build_commands 0:0: bind
1720573017.110646 cmd_parse_build_commands 0:1: -N
1720573017.110648 cmd_parse_build_commands 0:2: List all paste buffers
1720573017.110651 cmd_parse_build_commands 0:3: #
1720573017.110654 cmd_parse_build_commands 0:4 0:0: list-buffers
1720573017.110657 cmd_parse_build_commands 0:0: list-buffers
1720573017.110661 args_parse: flags end at 1 of 1
1720573017.110664 cmd_parse_build_commands: list-buffers
1720573017.110667 args_parse_flags: next -N
1720573017.110670 args_parse_flag_argument: -N = List all paste buffers
1720573017.110672 args_parse_flags: next #
1720573017.110675 args_parse: flags end at 3 of 5
1720573017.110678 args_parse: 3 = # (type STRING)
1720573017.110681 args_parse: 4 = list-buffers (type COMMANDS)
1720573017.110686 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1720573017.110689 cmdq_get_command: [bind-key/0x630cc88dbf60] group 50
1720573017.110692 cmdq_append <global>: [bind-key/0x630cc88dbf60]
1720573017.110695 yylex_token: end at WS
1720573017.110697 yylex_token: bind
1720573017.110700 yylex_token: end at WS
1720573017.110702 yylex_token: -N
1720573017.110705 yylex_token: end at WS
1720573017.110708 yylex_token: Rename current session
1720573017.110711 yylex_token: end at WS
1720573017.110713 yylex_token: $
